Aeg,Päring,Filtrid,Samm,Tulemus,DetailidJSON
2026-03-02 11:13:22,Soovita kursusi: 6 EAP eesti keeles sügissemester.,"credits=6, semester=autumn, language=et, level=ANY",llm_generate,OK,"{""filtered_count"": 375, ""docs_scored"": 375, ""top_k"": 5, ""top_codes"": [""FLLC.09.006"", ""FLFI.05.025"", ""FLLC.09.007"", ""HVLC.09.055"", ""HVLC.09.038""]}"
2026-03-02 11:14:12,Soovita kursusi: 3 EAP eesti keeles kevadsemester magistrile.,"credits=3, semester=spring, language=et, level=master",llm_generate,OK,"{""filtered_count"": 259, ""docs_scored"": 259, ""top_k"": 5, ""top_codes"": [""MJRI.03.099"", ""FLGR.00.050"", ""HVEE.00.043"", ""HVLC.05.027"", ""FLFI.02.138""]}"
2026-03-02 11:14:42,Soovita kursusi: 3 EAP eesti keeles sügissemester bakalaureusele.,"credits=3, semester=autumn, language=et, level=bachelor",llm_generate,OK,"{""filtered_count"": 381, ""docs_scored"": 381, ""top_k"": 5, ""top_codes"": [""LTFY.01.028"", ""LTKT.00.010"", ""P2NC.00.907"", ""HVEE.02.005"", ""FLGR.03.205""]}"
2026-03-02 11:15:26,Soovita kursusi: 3 EAP eesti keeles kevadsemester.,"credits=3, semester=spring, language=et, level=ANY",llm_generate,OK,"{""filtered_count"": 592, ""docs_scored"": 592, ""top_k"": 5, ""top_codes"": [""HVEE.01.004"", ""FLEE.02.042"", ""MJRI.03.099"", ""HVEE.05.041"", ""HVEE.05.040""]}"
2026-03-02 11:16:54,Soovita kursusi: 3 EAP inglise keeles sügissemester magistrile.,"credits=3, semester=autumn, language=en, level=master",llm_generate,OK,"{""filtered_count"": 115, ""docs_scored"": 115, ""top_k"": 5, ""top_codes"": [""HVKU.04.008"", ""LTAT.05.023"", ""HVLC.01.063"", ""HVLC.04.019"", ""LTAT.02.018""]}"
2026-03-02 12:43:11,soovin 3d kujundusega midagi seoses õppida,"credits=ANY, semester=ANY, language=ANY, level=ANY",llm_generate,OK,"{""filtered_count"": 3135, ""docs_scored"": 2962, ""top_k"": 5, ""top_codes"": [""MTAT.03.015"", ""LTOM.02.042"", ""SVPC.02.006"", ""LTAT.02.018"", ""HVVK.04.098""]}"
2026-03-02 12:45:34,soovin õppida midagi füüsilise 3d millegiga,"credits=ANY, semester=ANY, language=ANY, level=ANY",llm_generate,OK,"{""filtered_count"": 3135, ""docs_scored"": 2962, ""top_k"": 5, ""top_codes"": [""LTAT.01.003"", ""LTBI.00.028"", ""SVNC.00.051"", ""MTAT.03.015"", ""LOFY.01.157""]}"
2026-03-02 12:47:35,soovin midagi VR või mängudega seoses õppida,"credits=ANY, semester=ANY, language=ANY, level=ANY",llm_generate,OK,"{""filtered_count"": 3135, ""docs_scored"": 2962, ""top_k"": 5, ""top_codes"": [""LTAT.06.019"", ""LTAT.02.019"", ""MTAT.03.263"", ""LTAT.02.018"", ""LTAT.01.003""]}"
2026-03-02 12:49:30,soovin midagi masinate või cnc-ga õppida,"credits=ANY, semester=ANY, language=ANY, level=ANY",llm_generate,OK,"{""filtered_count"": 3135, ""docs_scored"": 2962, ""top_k"": 5, ""top_codes"": [""LTAT.01.003"", ""SVNC.00.085"", ""LOTI.05.101"", ""LTBI.00.027"", ""MTAT.03.227""]}"
2026-03-02 12:51:24,soovin 3d printida,"credits=ANY, semester=ANY, language=ANY, level=ANY",llm_generate,OK,"{""filtered_count"": 3135, ""docs_scored"": 2962, ""top_k"": 5, ""top_codes"": [""MTAT.03.015"", ""LOTI.05.097"", ""LOKT.04.024"", ""LTOM.02.042"", ""MTAT.03.293""]}"
